X,Y,Z
149.245,2533.87,11.5
152.33934,2533.87,11.5
155.43368,2533.87,11.5
158.52802,2533.87,11.5
161.62236000000001,2533.87,11.5
164.7167,2533.87,11.5
167.81104,2533.87,11.5
170.90538,2533.87,11.5
173.99972,2533.87,11.5
177.09406,2533.87,11.5
180.1884,2533.87,11.5
183.28274,2533.87,11.5
186.37708,2533.87,11.5
189.47142,2533.87,11.5
192.56576,2533.87,11.5
195.6601,2533.87,11.5
198.75444,2533.87,11.5
201.84878,2533.87,11.5
204.94312,2533.87,11.5
208.03746,2533.87,11.5
211.1318,2533.87,11.5
214.22614,2533.87,11.5
217.32048,2533.87,11.5
220.41482000000002,2533.87,11.5
223.50916,2533.87,11.5
226.6035,2533.87,11.5
229.69783999999999,2533.87,11.5
232.79218,2533.87,11.5
235.88652000000002,2533.87,11.5
238.98086,2533.87,11.5
242.0752,2533.87,11.5
245.16953999999998,2533.87,11.5
248.26388,2533.87,11.5
251.35822000000002,2533.87,11.5
254.45256,2533.87,11.5
257.5469,2533.87,11.5
260.64124,2533.87,11.5
263.73558,2533.87,11.5
266.82992,2533.87,11.5
269.92426,2533.87,11.5
273.0186,2533.87,11.5
276.11294,2533.87,11.5
279.20727999999997,2533.87,11.5
282.30161999999996,2533.87,11.5
285.39596,2533.87,11.5
288.4903,2533.87,11.5
291.58464000000004,2533.87,11.5
294.67898,2533.87,11.5
297.77332,2533.87,11.5
300.86766,2533.87,11.5
303.962,2533.87,11.5
307.05634,2533.87,11.5
310.15067999999997,2533.87,11.5
313.24502,2533.87,11.5
316.33936,2533.87,11.5
319.4337,2533.87,11.5
322.52804000000003,2533.87,11.5
325.62238,2533.87,11.5
328.71672,2533.87,11.5
331.81106,2533.87,11.5
334.9054,2533.87,11.5
337.99974,2533.87,11.5
341.09407999999996,2533.87,11.5
344.18842,2533.87,11.5
347.28276,2533.87,11.5
350.3771,2533.87,11.5
353.47144000000003,2533.87,11.5
356.56578,2533.87,11.5
359.66012,2533.87,11.5
362.75446,2533.87,11.5
365.8488,2533.87,11.5
368.94313999999997,2533.87,11.5
372.03747999999996,2533.87,11.5
375.13182,2533.87,11.5
378.22616,2533.87,11.5
381.3205,2533.87,11.5
384.41484,2533.87,11.5
387.50918,2533.87,11.5
390.60352,2533.87,11.5
393.69786,2533.87,11.5
396.7922,2533.87,11.5
399.88653999999997,2533.87,11.5
402.98087999999996,2533.87,11.5
406.07522,2533.87,11.5
409.16956,2533.87,11.5
412.2639,2533.87,11.5
415.35823999999997,2533.87,11.5
418.45258,2533.87,11.5
421.54692,2533.87,11.5
424.64126,2533.87,11.5
427.7356,2533.87,11.5
430.82993999999997,2533.87,11.5
433.92428,2533.87,11.5
437.01862,2533.87,11.5
440.11296,2533.87,11.5
443.2073,2533.87,11.5
446.30164,2533.87,11.5
449.39598,2533.87,11.5
452.49032,2533.87,11.5
455.58466,2533.87,11.5
458.679,2533.87,11.5
149.245,2537.2369,11.5
152.33934,2537.2369,11.5
155.43368,2537.2369,11.5
158.52802,2537.2369,11.5
161.62236000000001,2537.2369,11.5
164.7167,2537.2369,11.5
167.81104,2537.2369,11.5
170.90538,2537.2369,11.5
173.99972,2537.2369,11.5
177.09406,2537.2369,11.5
180.1884,2537.2369,11.5
183.28274,2537.2369,11.5
186.37708,2537.2369,11.5
